SlNo,BookTitle,BookAuthor,BookOriginalPrice,BookNewPrice
223;"চেক ডিসঅনার মামলার সহজ ভাষ্য";"মোঃ কাইছার হামিদ";"TK. 250";"TK. 175"
224;"সাকসেস ইন স্টুডেন্ট লাইফ";"জোনাইদ আল হাবীব";"TK. 200";"TK. 150"
225;"বস ম্যানেজমেন্ট";"আবীর শওকত হায়াত";"TK. 260";"TK. 195"
226;"পোটকরা টু ম্যানহাটন";"আসিফ আকবর";"TK. 600";"TK. 450"
227;"দ্য স্টোরি অব গুগল";"সারা গিলবার্ট";"TK. 150";"TK. 113"
228;"স্পোকেন ইংলিশ এর এ টু জেড";"সাব্বির সরকার";"TK. 200";"TK. 150"
229;"ইলুমিনাতি";"আবদুল কাইয়্যুম আহমেদ";"TK. 234";"TK. 176"
230;"ডিজিটাল কনটেন্ট";"মাহবুবুর রহমান (আইসিটি)";"TK. 250";"TK. 188"
231;"ফিজিকস অব দ্য ইমপসিবল";"মিশিও কাকু";"TK. 600";"TK. 450"
232;"টাকার গন্ধ";"মাহমুদ আহমদ";"TK. 80";"TK. 60"
233;"ব্লন্ড হেয়ার ব্লু আইজ";"ক্যারিন স্লটার";"TK. 180";"TK. 135"
234;"তিন গোয়েন্দা ভলিউম ১৪৯";"শামসুদ্দীন নওয়াব";"TK. 92";"TK. 69"
235;"ইব্রাহীম ৪: নিয়ন্ত্রণ";"তানজিম উল ইসলাম";"TK. 100";"TK. 75"
236;"মানহা আত্মার আত্মীয়";"মোর্শেদা হোসেন রুবী";"TK. 470";"TK. 353"
237;"মুরাদ টাকলা অভিধান";"সিমু নাসের";"TK. 400";"TK. 300"
238;"কৌশিক রাত্রির রেশমি স্বপ্ন";"তারেক জাভেদ তুহিন";"TK. 200";"TK. 150"
239;"সর্পমানবী";"রুবেল কান্তি নাথ ";"TK. 300";"TK. 225"
240;"এবং তুমি ";"ইতি চৌধুরী";"TK. 375";"TK. 281"
241;"বৃত্তের বাইরে";"নাইমুল হাসান";"TK. 405";"TK. 304"
